High price,Low price,High price all time,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,MACD,MACD Signal,MACD Signal Previous Day,Current Price Final,t_1_price_predicted,t_1_price_actual,error,t_2_price,growth,score,join_key,units,spent
364.0,187.5,364.0,294.25,287.67,293.72,287.47,6.92,7.88,8.12,308.0,333.56743132489987,373.06,0.0,419.1388155869647,36.0840310347288,36.0840310347288,-1.0_LAWSIKHO,197,60676.0
5000.0,1595.5,5000.0,3731.76,3221.52,3702.48,3209.18,268.77,208.86,193.89,4539.95,4911.730642088186,5324.89,0.0,5944.137687318208,30.92958484825181,30.92958484825181,540205.0___NA__,11,49939.45
1510.0,239.4,1510.0,984.76,659.0,972.9,652.8,143.91,140.66,139.85,1291.0,1440.6610825836003,1507.1,0.0,1724.8906574227062,33.60888128758375,33.60888128758375,544037.0___NA__,44,56804.0
3049.7,142.5,3049.7,1984.06,1099.72,1956.71,1084.1,268.85,267.49,267.15,2640.0,2879.008371873454,3220.27,0.0,3642.2193639691873,37.96285469580255,37.96285469580255,543971.0___NA__,24,63360.0
2427.9,277.55,2427.9,1748.67,1089.9,1729.63,1078.59,157.51,166.09,168.23,2267.25,2488.1919306484942,2678.02,0.0,3028.4648712161,33.57436856174218,33.57436856174218,540678.0_COCHINSHIP,25,56681.25
298.6,142.0,298.6,211.42,234.4,208.44,233.89,18.42,8.6,6.15,298.6,324.7727711315334,349.21,0.0,391.3385220922327,31.057776990031044,31.057776990031044,-1.0_ESCONET,175,52255.00000000001
517.0,191.4,517.0,397.7,350.83,394.17,349.49,26.84,19.21,17.31,488.05,519.512260127297,579.24,0.0,639.4516165806891,31.021742973197235,31.021742973197235,505714.0_GABRIEL,107,52221.35
1072.0,361.8,1072.0,868.5,674.41,865.15,671.64,34.15,42.04,44.01,957.2,1028.317917441128,1122.99,0.0,1246.3763219417078,30.21064792537691,30.21064792537691,526367.0_GANESHHOUC,53,50731.600000000006
2760.0,1376.5,2760.0,2395.22,2026.21,2384.78,2019.93,84.5,95.74,98.55,2658.6,2878.398937799017,3098.52,0.0,3457.0119621544977,30.03129324285329,30.03129324285329,500660.0_GLAXO,19,50513.4
727.85,169.35,727.85,564.81,406.12,559.73,403.27,42.44,47.43,48.68,696.85,779.4838024979321,795.95,0.0,909.8269346893036,30.56280902479783,30.56280902479783,533272.0_JWL,74,51566.9
1712.55,161.2,1712.55,1181.3,854.57,1162.94,846.77,149.83,107.08,96.39,1712.55,1851.1484111488453,2098.89,0.0,2359.289336384107,37.76469804584434,37.76469804584434,-1.0_KDL,37,63364.35
468.0,142.05,468.0,325.21,248.57,320.16,246.55,36.53,26.66,24.19,459.95,477.9502562060984,562.7,0.0,613.0941193005831,33.295818958709226,33.295818958709226,538668.0___NA__,122,56113.9
2769.1,738.6,2769.1,2224.94,1615.77,2209.85,1605.93,125.65,134.89,137.2,2756.7,3018.480810383626,3286.38,0.0,3715.1523568934713,34.76810523065519,34.76810523065519,543945.0_NETWEB,21,57890.7
3848.4,576.55,3848.4,2551.09,1652.25,2505.64,1632.02,307.12,238.51,221.35,3848.4,4059.6978448363,4592.14,0.0,5037.915817954469,30.90936020045913,30.90936020045913,531431.0_SHAKTIPUMP,13,50029.200000000004
9756.85,2278.5,9756.85,6578.88,5447.97,6583.14,5437.65,16.52,15.83,15.66,6573.5,6340.875093601284,8334.75,0.0,8657.392162945916,31.70140964396313,31.70140964396313,501301.0_TATAINVEST,8,52588.0
1985.0,1462.2,2377.0,1765.35,1731.44,1759.94,1729.77,65.99,65.74,65.68,1904.0,2083.4398072299123,2274.9,0.0,2571.272983110636,35.0458499532897,35.0458499532897,524200.0_VINATIORGA,31,59024.0
1251.0,313.5,1251.0,893.59,658.35,887.9,654.58,77.61,96.55,101.28,1033.0,1182.2740695378548,1204.29,0.0,1407.566452111619,36.26006312793986,36.26006312793986,-1.0_VINYAS,59,60947.0
2199.0,1186.1,2787.0,1626.48,1488.91,1611.31,1483.79,108.38,91.19,86.9,1999.95,2129.665752979258,2367.78,0.0,2613.4610538264046,30.67631959931021,30.67631959931021,500238.0_WHIRLPOOL,26,51998.700000000004
