High price,Low price,High price all time,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,MACD,MACD Signal,MACD Signal Previous Day,Current Price,t_1_price_predicted,t_1_price_actual,error,t_2_price,growth,score,Graham,Altman Z Score,Piotroski score,join_key,cumulative
35376.6,9811.3,35376.6,19988.92,17035.51,19492.12,16883.5,2023.78,698.88,367.66,35376.6,35354.78767732844,37241.79,0.0,37808.01377956885,6.872943639492917,6.872943639492917,51623.43932749928,3.65,6.0,509470.0___NA__,2956.4568763894213
66999.0,12751.0,66999.0,34065.54,25901.11,32904.95,25533.28,6833.74,3824.61,3072.33,66999.0,68161.54777375063,67737.03,0.6267144776655118,69132.2555623601,3.1840110484635487,2.557296570798037,59227.66104534266,4.63,5.0,540980.0___NA__,2234.5534011050636
10388.95,4559.0,10388.95,8414.97,7722.98,8415.63,7716.19,62.92,59.92,59.17,8471.0,8806.532305084325,8695.11,1.2814364060296506,9101.297182535469,7.440646706828814,6.159210300799163,24927.209613693227,4.68,9.0,533095.0___NA__,1654.780171670122
93.5,38.95,5555.0,65.14,60.12,65.13,60.06,0.11,0.62,0.75,65.53,108.35820453021088,66.0,64.1790977730468,108.97638083828298,66.29998601904926,2.120888246002451,4558.374926961362,-29.37,3.0,523204.0_ABAN,450.8953809421387
4398.0,3150.0,4650.0,3895.84,3732.95,3883.29,3728.22,95.2,62.64,54.5,4258.5,4432.300938838697,4519.62,0.0,4775.743912378666,12.146152691761564,12.146152691761564,7928.112829765983,3.41,4.0,508670.0___NA__,411.66743566835993
6993.0,1747.65,6993.0,4606.04,3716.32,4536.96,3690.37,429.56,255.48,211.96,6479.4,6651.903985301659,6572.64,1.2059687629576392,6774.539642673238,4.555045878835048,3.349077115877409,7400.719324582577,1.92,6.0,533302.0_KICL,269.56100957413526
415.0,128.0,415.0,328.65,265.97,325.85,264.65,18.14,10.66,8.78,409.8,420.79554503804576,434.14,0.0,452.8091861837368,10.495165003352074,10.495165003352074,2664.1163437432683,1.32,5.0,500780.0_ZUARIIND,243.4067993776789
1776.6,907.0,1776.6,1325.1,1194.47,1315.92,1190.9,85.46,61.77,55.85,1553.05,1591.5940101928372,1603.82,0.0,1658.3702041520291,6.781507623838845,6.781507623838845,3053.212413180583,4.28,6.0,526725.0_SANDESH,180.48774894189717
628.95,294.7,995.0,446.59,394.55,440.42,392.51,49.32,38.69,36.04,597.95,642.1388718092433,649.68,0.0,710.1777237593909,18.76874717942819,18.76874717942819,1944.130680792832,2.61,5.0,509845.0___NA__,164.0168152587114
345.0,81.0,345.0,279.43,206.24,278.02,205.16,10.56,9.08,8.71,335.15,347.1635455012067,344.42,0.7965697407835522,359.3560867263734,7.22246359133923,6.425893850555678,1886.2882391750209,3.37,6.0,526971.0___NA__,163.01971776805777
721.9,367.1,721.9,588.5,534.46,584.48,532.93,27.35,19.35,17.34,698.3,736.1508989507015,745.89,0.0,798.7445383148525,14.384152701539826,14.384152701539826,2065.2867428035265,2.23,7.0,533303.0_BFINVEST,159.08282698189248
341.4,99.55,341.4,274.53,220.51,274.61,219.99,-1.89,-1.09,-0.88,275.0,268.06288593549215,284.35,0.0,280.3606486599052,1.9493267854200604,1.9493267854200604,1666.691104704168,1.82,3.0,531310.0___NA__,140.3184372558369
183.95,104.7,270.0,153.66,140.6,153.1,140.34,6.15,7.7,8.09,169.05,183.7185726272992,179.71,2.230578502753977,197.73933740187053,16.97091830929933,14.74033980654535,1339.393071599969,3.88,7.0,523384.0_MAHAPEXLTD,130.22464696654225
322.2,155.0,322.2,265.11,237.79,263.98,237.24,8.24,5.08,4.29,304.35,312.1375281683067,339.02,0.0,357.737895404178,17.541611764145877,17.541611764145877,1340.7831015865318,2.2,8.0,511333.0_VLSFINANCE,124.34492192279907
735.0,332.2,953.0,567.27,521.19,566.53,520.55,3.62,2.75,2.53,598.85,610.08514562104,607.29,0.4602653791500094,621.1860137915262,3.729817782671148,3.2695524035211387,1782.292053087821,2.17,8.0,524480.0___NA__,122.48375771230324
3500.0,2349.0,3500.0,2622.55,2655.35,2609.29,2652.41,106.54,55.33,42.53,2999.0,3019.0586035691385,3332.5,0.0,3457.70072855221,15.295122659293432,15.295122659293432,3551.8891217913883,2.28,5.0,532468.0___NA__,121.79403483843227
1175.95,368.25,1175.95,855.37,638.89,852.21,635.93,60.53,77.7,81.99,933.0,1029.4152498362473,952.19,8.110277343413316,1054.655256967957,13.039148656801396,4.928871313388081,2168.654404002629,2.73,5.0,509945.0___NA__,111.32431171365097
1195.0,305.25,1195.0,953.85,779.23,945.55,775.44,75.16,70.67,69.54,1131.55,1278.4582093336671,1201.64,6.392780644258432,1370.6453953608443,21.12990105261317,14.73712040835474,1859.4024757969964,5.54,7.0,539177.0_AIIL,92.0123679880544
1256.6,717.3,1256.6,1098.04,961.86,1092.86,959.21,40.52,40.04,39.92,1227.7,1311.389021350362,1333.38,0.0,1450.3866218547428,18.1385209623477,18.1385209623477,1891.4710388345893,4.11,7.0,500620.0_GESHIP,84.99562484580665
690.75,220.55,3048.0,383.39,377.65,384.05,377.76,-2.12,-4.95,-5.66,379.4,356.93637844338645,441.83,0.0,439.0486059177288,15.721825492284884,15.721825492284884,888.4289989920411,2.9,8.0,526881.0_63MOONS,69.454725391489
